"Category";"Group";"Type";"Message";"Location";"Assessment";"Since";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/Entry.java:149-152";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 3 instances of length 16";"sourcefiles/dbserver/src/TBA/Data/User.java:39-105";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/User.java:62-65";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Diaries` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Data/User.java:30-30";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Data` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Data/User.java:1-1";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/User.java:53-56";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 21";"sourcefiles/dbserver/src/TBA/Data/User.java:39-124";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Diaries` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Data/User.java:15-15";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/User.java:44-47";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Data/User.java:71-74";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Exceptions` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Exceptions/DBServerException.java:6-6";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/dbserver/src/TBA/Exceptions/DBServerException.java:17-17";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/DBServerException.java:37-41";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/DBServerException.java:28-31";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/DBServerException.java:19-22";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/HandleThreadException.java:19-22";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/HandleThreadException.java:37-41";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/dbserver/src/TBA/Exceptions/HandleThreadException.java:17-17";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Exceptions` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Exceptions/HandleThreadException.java:6-6";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Exceptions/HandleThreadException.java:12-13";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/HandleThreadException.java:28-31";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Exceptions/MessagesException.java:12-13";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/dbserver/src/TBA/Exceptions/MessagesException.java:17-17";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Exceptions` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Exceptions/MessagesException.java:6-6";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/MessagesException.java:28-31";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/MessagesException.java:19-22";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/MessagesException.java:37-41";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Exceptions` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Exceptions/NetServerException.java:6-6";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/dbserver/src/TBA/Exceptions/NetServerException.java:17-17";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/NetServerException.java:19-22";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/NetServerException.java:37-41";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/NetServerException.java:28-31";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Exceptions/NetServerException.java:12-13";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Exceptions` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Exceptions/NetworkDataException.java:6-6";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/dbserver/src/TBA/Exceptions/NetworkDataException.java:18-18";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/NetworkDataException.java:29-32";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/NetworkDataException.java:38-42";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Exceptions/NetworkDataException.java:12-13";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/NetworkDataException.java:20-23";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/dbserver/src/TBA/Exceptions/PasswordHashingException.java:17-17";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Exceptions` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Exceptions/PasswordHashingException.java:6-6";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/PasswordHashingException.java:37-41";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Exceptions/PasswordHashingException.java:12-13";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/PasswordHashingException.java:19-22";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Exceptions/PasswordHashingException.java:28-31";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Logging` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Logging/TBALogger.java:1-1";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 3 instances of length 25";"sourcefiles/dbserver/src/TBA/Logging/TBALogger.java:27-116";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `removeConsole` are in wrong order";"sourcefiles/dbserver/src/TBA/Logging/TBALogger.java:110-110";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `setup` are in wrong order";"sourcefiles/dbserver/src/TBA/Logging/TBALogger.java:62-62";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `setup` are in wrong order";"sourcefiles/dbserver/src/TBA/Logging/TBALogger.java:37-37";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `setLevel` are in wrong order";"sourcefiles/dbserver/src/TBA/Logging/TBALogger.java:90-90";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:26-27";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:21-22";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:48-49";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:53-54";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Logging` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:1-1";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:63-64";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:43-44";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:37-38";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:32-33";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/src/TBA/Logging/WrappedLogger.java:58-59";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 136";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:8-392";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 43";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:74-123";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Set` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:133-133";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:317-321";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `GetEntrySize` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:52-52";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:215-219";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Get` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:72-72";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:339-343";"YELLOW";"default@1591478094031";
"Documentation";"Task tags";"Comments/Task Tags";"TODO: size of body, prolly wont final EntryLen because of changing body size maybe?";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:31-31";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:295-299";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:64-64";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Comments/Commented Out Code";"Commented Out Code";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:33-34";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Messages` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:1-1";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 45";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:135-196";"YELLOW";"default@1591478094031";
"Code Anomalies";"Unused code";"Code Anomalies/Avoid unused private methods in Java";"Private method `getBodyLen` is unused";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:41-41";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `EntryRecord` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryEntry.java:74-74";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `GetDiaryID` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:145-145";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 87";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:12-311";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `GetDiaryName` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:180-180";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 3 instances of length 35";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:145-310";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `SetRevNum` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:299-299";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Set` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:88-88";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 3 instances of length 37";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:14-103";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `SetPermissions` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:264-264";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Messages` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:1-1";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 3 instances of length 13";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:106-134";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `SetDiaryName` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:194-194";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `GetRevNum` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:285-285";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `SetOwnerFlag` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:229-229";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `GetPermissions` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:250-250";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `GetOwnerFlag` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:215-215";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:30-30";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 39";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:90-134";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `SetDiaryID` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:159-159";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Get` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Messages/DiaryHeader.java:43-43";"YELLOW";"default@1591478094031";
